date,close,open,high,low,volume,fng_value,fng_classification,change_percent,next_change_percent
2024-11-22,98929.7,98381.2,99617.4,97182.2,132.23,94.0,Extreme Greed,0.56,-1.24
2024-11-23,97699.0,98927.2,98927.2,97180.9,72.17,93.0,Extreme Greed,-1.24,0.24
2024-11-24,97935.2,97696.4,98552.6,95765.4,77.04,80.0,Extreme Greed,0.24,-4.97
2024-11-25,93064.4,97948.8,98872.4,92875.3,124.98,82.0,Extreme Greed,-4.97,-1.17
2024-11-26,91977.6,93046.5,94978.8,90817.2,131.88,79.0,Extreme Greed,-1.17,4.25
2024-11-27,95886.6,91975.5,97219.8,91795.5,106.39,75.0,Greed,4.25,-0.25
2024-11-28,95645.5,95881.4,96549.0,94648.8,68.17,77.0,Extreme Greed,-0.25,1.87
2024-11-29,97438.0,95645.6,98599.8,95405.7,76.54,78.0,Extreme Greed,1.87,-1.06
2024-11-30,96405.7,97438.5,97461.9,96119.6,36.92,84.0,Extreme Greed,-1.06,0.83
2024-12-01,97201.4,96404.7,97813.9,95721.8,42.9,81.0,Extreme Greed,0.83,-1.39
2024-12-02,95846.6,97199.3,98082.0,94510.6,95.8,80.0,Extreme Greed,-1.39,0.05
2024-12-03,95898.7,95843.9,96245.0,93646.1,95.08,76.0,Extreme Greed,0.05,2.85
2024-12-04,98635.8,95900.1,99030.7,94625.3,113.77,78.0,Extreme Greed,2.85,-1.69
2024-12-05,96970.8,98624.8,103719.4,92510.4,245.79,84.0,Extreme Greed,-1.69,2.88
2024-12-06,99760.7,96968.9,101908.5,96452.0,213.49,72.0,Greed,2.88,0.08
2024-12-07,99837.0,99757.2,100441.8,98969.0,118.44,75.0,Greed,0.08,1.28
2024-12-08,101115.8,99837.0,101339.9,98713.9,128.93,79.0,Extreme Greed,1.28,-3.72
2024-12-09,97359.4,101129.7,101198.6,94395.8,321.01,78.0,Extreme Greed,-3.72,-0.78
2024-12-10,96600.3,97311.5,98237.8,94304.5,271.45,78.0,Extreme Greed,-0.78,4.69
2024-12-11,101126.2,96603.2,101877.1,95689.5,250.02,74.0,Greed,4.69,-1.1
2024-12-12,100009.9,101126.3,102495.3,99334.5,188.96,83.0,Extreme Greed,-1.1,1.42
2024-12-13,101426.2,100008.3,101891.2,99214.2,162.4,76.0,Extreme Greed,1.42,-0.01
2024-12-14,101417.7,101423.7,102633.0,100626.3,105.31,83.0,Extreme Greed,-0.01,2.98
2024-12-15,104443.0,101417.9,105120.9,101234.9,133.99,80.0,Extreme Greed,2.98,1.55
2024-12-16,106057.6,104479.2,107767.6,103351.7,232.66,83.0,Extreme Greed,1.55,0.08
2024-12-17,106138.9,106053.4,108244.9,105350.6,149.37,87.0,Extreme Greed,0.08,-5.6
2024-12-18,100197.8,106140.7,106477.6,100049.3,187.49,81.0,Extreme Greed,-5.6,-2.73
2024-12-19,97466.1,100190.5,102778.8,95672.2,200.57,75.0,Greed,-2.73,0.34
2024-12-20,97795.7,97468.3,98178.2,92301.9,221.18,74.0,Greed,0.34,-0.55
2024-12-21,97253.3,97799.1,99531.9,96478.6,123.36,73.0,Greed,-0.55,-2.13
2024-12-22,95183.8,97281.6,97422.2,94265.2,100.64,73.0,Greed,-2.13,-0.35
2024-12-23,94852.1,95184.8,96517.8,92543.2,133.24,70.0,Greed,-0.35,4.02
2024-12-24,98668.1,94852.8,99446.6,93566.2,69.86,73.0,Greed,4.02,0.73
2024-12-25,99391.3,98661.9,99514.1,97651.9,39.8,73.0,Greed,0.73,-3.64
2024-12-26,95777.7,99389.4,99922.5,95193.3,74.6,79.0,Extreme Greed,-3.64,-1.57
2024-12-27,94275.9,95776.4,97243.3,93472.8,85.12,74.0,Greed,-1.57,1.07
2024-12-28,95284.5,94274.9,95684.3,94124.7,32.97,72.0,Greed,1.07,-1.65
2024-12-29,93716.3,95282.6,95315.4,93026.7,47.71,73.0,Greed,-1.65,-1.0
2024-12-30,92779.8,93718.7,94936.4,91522.3,112.43,65.0,Greed,-1.0,0.84
2024-12-31,93557.2,92777.2,96163.4,92036.2,74.85,64.0,Greed,0.84,1.07
2025-01-01,94560.2,93557.3,95100.0,92939.3,43.34,66.0,Greed,1.07,2.54
